Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
LFCW-272+,JC0603C,"LTCC Low Pass Filter, DC -2690 MHz",DC -2690,3200,4400,20,4800-5400,30,Low Pass,LTCC,SMT,50
LFCW-332+,JC0603C,"LTCC Low Pass Filter, 10 -3300 MHz",10,3300,4550-8000,25,-,-,Low Pass,LTCC,SMT,50
LFCW-612+,JC0603C-1,"LTCC Low Pass Filter, 10 -6100 MHz",10,6100,9300-12600,25,-,-,Low Pass,LTCC,SMT,50
LFCW-1062+,JC0603C-1,"LTCC Low Pass Filter, DC -10600 MHz",DC -10600,10800,12160-12860,20,-,-,Low Pass,LTCC,SMT,50
LFCW-1142+,JC0603C-1,"LTCC Low Pass Filter, DC -11400 MHz",DC -11400,11700,12860-13860,20,-,-,Low Pass,LTCC,SMT,50
LFCW-1292+,JC0603C-1,"LTCC Low Pass Filter, DC -12900 MHz",DC -12900,13900,17000-22900,36,22900-26500,25,Low Pass,LTCC,SMT,50
LFCW-5000+,JC0603C-1,"LTCC Low Pass Filter, DC -5000 MHz",DC -5000,5750,7200-11000,40,11000-26500,15,Low Pass,LTCC,SMT,50
LFCW-5500+,JC0603C-1,"LTCC Low Pass Filter, DC -5500 MHz",DC -5500,6320,7500-11500,32,17000-26500,20,Low Pass,LTCC,SMT,50
LFCW-6000+,JC0603C-1,"LTCC Low Pass Filter, DC -6000 MHz",DC -6000,6800,8200-14000,42,14000-26500,15,Low Pass,LTCC,SMT,50
LFCW-6300+,JC0603C-1,"LTCC Low Pass Filter, DC -6300 MHz",DC -6300,7200,8600-14300,42,14300-26500,25,Low Pass,LTCC,SMT,50
LFCW-6500+,JC0603C-1,"LTCC Low Pass Filter, DC -6500 MHz",DC -6500,7500,9000-15000,40,15000-26500,23,Low Pass,LTCC,SMT,50
LFCW-7500+,JC0603C-1,"LTCC Low Pass Filter, DC -7500 MHz",DC -7500,8400,9900-15000,42,15000-26500,25,Low Pass,LTCC,SMT,50
LFCW-8000+,JC0603C-1,"LTCC Low Pass Filter, DC -8000 MHz",DC -8000,8900,11000-15500,42,15500-26500,20,Low Pass,LTCC,SMT,50
LFCW-8400+,JC0603C-1,"LTCC Low Pass Filter, DC -8400 MHz",DC -8400,9800,12200-16000,45,16000-26500,15,Low Pass,LTCC,SMT,50
LFCW-8700+,JC0603C-1,"LTCC Low Pass Filter, DC -8700 MHz",DC -8700,10100,13000-18000,35,18000-26500,15,Low Pass,LTCC,SMT,50
LFTC-850+,FR933,"LTCC Low Pass Filter, DC -850 MHz",DC -850,1078,1500,20,2000-3500,40,Low Pass,LTCC,SMT,50
LFTC-1350+,FR933,"LTCC Low Pass Filter, DC -1350 MHz",DC -1350,1550,2100,20,2700-4500,30,Low Pass,LTCC,SMT,50
LFTC-1700+,FR933,"LTCC Low Pass Filter, DC -1700 MHz",DC -1700,1980,2700,20,3300-3750,40,Low Pass,LTCC,SMT,50
LFTC-2000+,FR933,"LTCC Low Pass Filter, DC -2000 MHz",DC -2000,2430,3450,20,4500-5400,40,Low Pass,LTCC,SMT,50
LFTC-3300+,FR933,"LTCC Low Pass Filter, DC -3300 MHz",DC -3300,4100,5600,20,10000,20,Low Pass,LTCC,SMT,50
LFTC-4000+,FR933,"LTCC Low Pass Filter, DC -4000 MHz",DC -4000,5325,7250,20,9500,20,Low Pass,LTCC,SMT,50
LFTC-5400+,FR933,"LTCC Low Pass Filter, DC -5400 MHz",DC -5400,6410,9000-11000,20,12000,20,Low Pass,LTCC,SMT,50
LPF-B0R3+,HZ1198,"Lumped LC Low Pass Filter, DC -0.3 MHz",DC -0.3,0.46,0.56-0.61,20,0.61-1000,40,Low Pass,Lumped LC,SMT,50
LPF-B0R35+,HZ1198,"Lumped LC Low Pass Filter, DC -0.35 MHz",DC -0.35,0.57,0.70-0.79,20,0.79-1000,40,Low Pass,Lumped LC,SMT,50
LPF-B0R5+,HZ1198,"Lumped LC Low Pass Filter, DC -0.5 MHz",DC -0.5,0.81,1.00-1.12,20,1.12-1000,40,Low Pass,Lumped LC,SMT,50
LPF-B0R6+,HZ1198,"Lumped LC Low Pass Filter, DC -0.6 MHz",DC -0.6,0.88,1.08-1.23,20,1.23-1000,40,Low Pass,Lumped LC,SMT,50
LPF-B0R8+,HZ1198,"Lumped LC Low Pass Filter, DC -0.8 MHz",DC -0.8,1.25,1.55-1.75,20,1.75-1000,40,Low Pass,Lumped LC,SMT,50
LPF-B35+,HZ1198,"Lumped LC Low Pass Filter, DC -35 MHz",DC -35,40,45-2500,20,-,-,Low Pass,Lumped LC,SMT,50
LPF-B50+,HZ1198,"Lumped LC Low Pass Filter, DC -50 MHz",DC -50,55,65-3300,20,-,-,Low Pass,Lumped LC,SMT,50
LPF-B375+,HZ1198,"Lumped LC Low Pass Filter, DC -375 MHz",DC -375,395,440-4500,20,-,-,Low Pass,Lumped LC,SMT,50
LPF-B500+,HZ1198,"Lumped LC Low Pass Filter, DC -500 MHz",DC -500,515,585-4500,20,-,-,Low Pass,Lumped LC,SMT,50
LPGE-252R+,GE0805C-2,"LTCC Low Pass Filter, 2400-2500 MHz",2400,2500,4800-5000,40,7200-7500,37,Low Pass,LTCC,SMT,50
LPGE-592R+,GE0805C-4,"LTCC Low Pass Filter, 4900-5900 MHz",4900,5900,9800-11800,42,14700-17700,54,Low Pass,LTCC,SMT,50
