Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
BPF-B503+,HZ1198,"Lumped LC Band Pass Filter, 495-510 MHz",495,510,440,20,565,20,Band Pass,Lumped LC,SMT,50
BPF-BC300+,TS2825,"Lumped LC Band Pass Filter, 290-310 MHz",290,310,DC-240,50,350-4000,25,Band Pass,Lumped LC,SMT,50
BPF-BC300A+,TS2825,"Lumped LC Band Pass Filter, 260-340 MHz",260,340,DC-220,40,380-4000,25,Band Pass,Lumped LC,SMT,50
BPF-BD1400+,TV2849,"Lumped LC Band Pass Filter, 1200-1600 MHz",1200,1600,DC-1000,25,1800-3000,25,Band Pass,Lumped LC,SMT,50
BPF-BD1800+,TV2849,"Lumped LC Band Pass Filter, 1600-2000 MHz",1600,2000,DC-1400,25,2200-4000,25,Band Pass,Lumped LC,SMT,50
BPF-C4R5+,HU1186,"Lumped LC Band Pass Filter, 2-7 MHz",2,7,DC-0.6,20,17-2100,20,Band Pass,Lumped LC,SMT,50
BPF-C45+,HU1186,"Lumped LC Band Pass Filter, 30-70 MHz",30,70,23,20,95,20,Band Pass,Lumped LC,SMT,50
BPF-C59+,HU1186,"Lumped LC Band Pass Filter, 30-88 MHz",30,88,DC-22,20,115-4500,20,Band Pass,Lumped LC,SMT,50
BPF-C70+,HU1186,"Lumped LC Band Pass Filter, 69.5-70.5 MHz",69.5,70.5,DC-66,20,75-1000,20,Band Pass,Lumped LC,SMT,50
BPF-C73+,HU1186,"Lumped LC Band Pass Filter, 63-85 MHz",63,85,45,20,105,20,Band Pass,Lumped LC,SMT,50
BPF-C75+,HU1186,"Lumped LC Band Pass Filter, 60-90 MHz",60,90,46,20,102,20,Band Pass,Lumped LC,SMT,50
BPF-C138+,HU1186,"Lumped LC Band Pass Filter, 105-180 MHz",105,180,87,20,201,20,Band Pass,Lumped LC,SMT,50
BPF-C141+,HU1186,"Lumped LC Band Pass Filter, 110-180 MHz",110,180,92,20,213,20,Band Pass,Lumped LC,SMT,50
BPF-C450+,HU1186,"Lumped LC Band Pass Filter, 400-510 MHz",400,510,310,20,700,20,Band Pass,Lumped LC,SMT,50
BPF-C495+,HU1186,"Lumped LC Band Pass Filter, 470-520 MHz",470,520,DC-410,20,625-2600,20,Band Pass,Lumped LC,SMT,50
BPF-C510+,HU1186,"Lumped LC Band Pass Filter, 20-1000 MHz",20,1000,DC-17,20,1150-1800,20,Band Pass,Lumped LC,SMT,50
BPF-C550+,HU1186,"Lumped LC Band Pass Filter, 100-1000 MHz",100,1000,DC-80,35,1200-2000,35,Band Pass,Lumped LC,SMT,50
BPF-C587+,HU1186,"Lumped LC Band Pass Filter, 470-705 MHz",470,705,DC-400,20,800-1500,20,Band Pass,Lumped LC,SMT,50
